,br
0,26.88
1,30.72
2,34.559999999999995
3,23.04
4,30.72
5,34.559999999999995
6,34.559999999999995
7,30.72
8,34.559999999999995
9,30.72
10,34.559999999999995
11,34.559999999999995
12,30.72
13,34.559999999999995
14,34.559999999999995
15,34.559999999999995
16,30.72
17,34.559999999999995
18,34.559999999999995
19,34.559999999999995
20,30.72
21,38.4
22,38.4
23,34.559999999999995
24,30.72
25,30.72
26,30.72
27,30.72
28,30.72
29,26.88
30,30.72
31,23.04
32,23.04
33,26.88
34,38.4
35,38.4
36,30.72
37,19.2
38,30.72
39,15.36
40,30.72
41,26.88
42,38.4
43,42.239999999999995
44,42.239999999999995
45,38.4
46,38.4
47,34.559999999999995
48,46.08
49,38.4
50,19.2
51,34.559999999999995
52,23.04
53,26.88
54,23.04
55,26.88
56,26.88
57,34.559999999999995
58,34.559999999999995
59,30.72
60,34.559999999999995
61,19.2
62,30.72
63,30.72
64,30.72
65,30.72
66,30.72
67,30.72
68,30.72
69,26.88
70,34.559999999999995
71,30.72
72,30.72
73,26.88
74,30.72
75,26.88
